#файл данных

туры: 26 #ко-во туров в регулярном чемпионате
стадии_плэйофф: 3 #кол-во стадий плэйофф
матчи_плэйофф: 3 5 5 #макс кол-во матчей на стадиях плэйофф
баллы_регулярный: 3 2 1 #баллы игрокам за 1, 2, 3 места в регулярном чемпионате
баллы_плэйофф: 6 4 2 #баллы игрокам за 1, 2, 3 места в плэйофф


команды: корабелка ленинградка акбарс уралочка краснодар енисей динамо омичка протон заречье метар локомотив тулица минчанка

#игроки(лен): озерова(св) рубан(до) гарелик(ди) романова(до) мишагина(св) мельникова(бл) перова(ли) булгакова(ли) малыгина(бл) 

исключить_из_голосования: #bogdanov


10 ени дин Салтыкова Лазарева Асташина yar
10 ени дин Салтыкова Борисова Лазарева enikom
10 ени дин Салтыкова Борисова Лазарева mihalko
10 ени дин Салтыкова Лазарева Даций sovtsova
10 ени дин Салтыкова Даций Лазарева ustinov
10 мин акб Турчина Мартинес Лаврушко miroslava
10 мин акб Мартинес Бибина Енина shipilov
10 мин акб Мартинес Матвеева Турчина sovtsova
10 мин акб Мартинес Матвеева Турчина ustinov
10 лен тул Озерова Рубан Мельникова mihalko
10 лен тул Мельникова Рубан Озерова laptevskaya
10 лен тул Мельникова Матвеева Турчина sovtsova
10 лен тул Мельникова Озерова Мамедова ustinov
10 зар крас Максимова Бровкина Хабибрахманова ason
10 зар крас Слаутина Максимова Бровкина cherkashin
10 зар крас Максимова Бровкина Хабибрахманова dzich
10 зар крас Слаутина Максимова Бярда voley
10 зар крас Максимова Ежак Мори sovtsova
10 зар крас Максимова Мори Ежак ustinov
10 локо урал Фитисова Протопопова Хлебникова rombik
10 локо урал Протопопова Киси Фитисова litovchenko
10 локо урал Фитисова Хлебникова Тица uralband
10 локо урал Протопопова Фитисова Тица sovtsova
10 локо урал Фитисова Протопопова Тица ustinov
10 оми метар Воситова Диких Гильен kungurtsev
10 оми метар Воситова Кроткова Зайцева georgiy
10 оми метар Бесман Кроткова Зайцева mihalko
10 оми метар Гильен Диких Бесман sovtsova
10 оми метар Гильен Бесман  Диких ustinov
10 протон кор Нестерова  Морено  Филиштинская papaka
10 протон кор Филиштинская  Морено  Иванович mihalko
10 протон кор Морено Вучкова Нестерова sovtsova
10 протон кор Филиштинская  Вучкова  Морено ustinov


11 метар мин Трофимова Дементьева Ольховская miroslava
11 метар мин Турчина Дементьева Ольховская lakizo
11 метар мин Трофимова Сычева Кудряшова mihalko
11 метар мин Дементьева Форналева Турчина sovtsova
11 кор локо Капралова Киселева Морено papaka
11 кор локо Капралова Киселева Филиштинская rombik
11 кор локо Киселева Морено Нестерова litovchenko
11 кор локо Капралова Киселева Филиштинская voley
11 кор локо Капралова Нестерова Морено sovtsova
